Index,Offence,Description of offence,Section on Principal Enactment,Fine
o33,Violation of regulations on moror vehicles,"(1) Regulations may be made- (a) prohibiting, restricting or controlling the use of motor vehicles generally or any specified class or description of motor vehicles, as respects roads or the roads in any specified area or any specified road or part of a road; (b) prescribing any condition or requirement not expressly provided for in this Act, as to the construction and equipment and use of all or any specified class or description of motor vehicles; (d) providing that motor vehicles generally or any specified class or description of motor vehicles shall comply with such anti-date requirements as may be prescribed; (e) prohibiting, restricting or regulating the carriage of petroleum or other fuel, acids and other dangerous or offensive articles on motor coaches; (f) providing for the licensing, supervision and control of conductors of omnibuses and of ticket inspectors employed by owners of omnibuses, for the revocation or suspension of such licences and for the imposition and recovery of fees for such licences; (g) prescribing the duties and regulating the conduct of drivers, conductors and ticket inspectors of omnibuses; (i) prescribing the minimum educational or other qualifications required for the grant of conductor's licences in respect of omnibuses; (j) providing for endorsements to be made on such licences on conviction of the holder thereof of any offence under this Act; (k) providing for the regulation and control of queues at stopping places for omnibuses, the facilities to be provided at such stopping places and the charges to be made for the use of such facilities; (*k)(Not applicable to any omnibus of any Regional Transport Board.-See Paragraph 3 (1), Schedule 111, of the Transport Board Law.) prescribing the use of stopping places or public stands for omnibuses and restricting the halting or stopping of omnibuses on all roads generally or on the roads in any specified area or any specified roads or part of a road; (1) providing that badges containing identification numbers be worn by drivers and conductors of omnibuses; (m) providing for the regulation and control of the conduct of passengers in omnibuses; (n) as respect omnibuses- (i) authorizing the removal from such omnibuses of persons committing a breach of any provision of this Act or of any regulation by the drivers or conductors thereof or by any police officer on the request of the drivers or conductors thereof; (ii) requiring passengers in such omnibuses who are reasonably suspected by the drivers or conductors thereof of contravening any provisions of this Act or of any regulation to give their names and addresses to a police officer or to the drivers or conductors thereof on demand; (iii) requiring passengers in such omnibuses to declare, if so requested by the drivers or conductors thereof, the journey they intend to take or have taken, and to pay the fare for the whole of such journey and to accept tickets provided therefor: (iv) requiring, on demand being made for the purpose by the drivers or conductors of such omnibuses or by any other person authorized by the registered owners thereof, the production. during the journey and the surrender at the end of the journey by the holders thereof of tickets issued to them; (v) requiring passengers in such omnibuses, if so requested by the drivers or conductors thereof, to leave the omnibuses on the completion of the journey for which they have paid; (vi) requiring the surrender of tickets by the holders thereof on the expiry of the period for which they are issued; (vii) requiring the surrender of tickets by the holders thereof on the expiry of the period for which they are issued; (o)(Not applicable to any place provided and maintained by any Regional Transport Board as a place at which omnibuses, hiring cars or lorries may be hailed or may stand for hire. - See Paragraph 3 (3), Schedule III, of the Transport Board Law.) as respects every public stand in any specified area or any public stand- (i) regulating the use of the public stand and authorizing the issue of permits in that behalf; (ii) prescribing the fees to be charged for such permits, and the manner of disposal of the fees recovered on the issue of such permits; (iii) prescribing the manner in which motor vehicles may enter or leave the public stand or be placed therein; (iv) regulating and controlling the behaviour of the drivers and conductors of motor vehicles using the public stand; (v) prohibiting or restricting the cleaning or repair of motor vehicles in the public stand; (vi) restricting the admission or entry of persons into the public stand and regulating the behaviour of persons who enter therein; (q) prescribing the particulars which are to be entered by the driver of an omnibus in the record sheet required by section 183, and the manner in which and the intervals at which such particulars are to be entered; (r) prescribing the circumstances in which and the conditions subject to which exemption from the provisions of sections 182 and 183 may be granted by the Commissioner-General in respect of any omnibus; (s) providing that any specified provision of this Part shall not apply in the case of any motor lorry or motor tricycle van which is for the time being used for the purposes of the Government of Sri Lanka. (2) No regulation applicable in any area within the administrative limits of any local authority shall be made for or in respect of any matter for which that local authority may make by-laws or regulations under any other written law, except with the prior approval of the Minister charged with the subject of Local Government. (3) No regulation under section 141 or section 142 or section 143 or section 144 shall be made except with the concurrence of the Minister in charge of the subject of roads.",190,1000
o34,Failure to carry the emission certificate or the fitness certificate,"(1) Upon the production of a motor vehicle before an examiner or an approved certifying officer referred to in section 195 and upon payment of the prescribed levy or service charge, for the purpose of obtaining an Emission Certificate and a Certificate of Fitness as is referred to in section 29, an examiner or approved certifying officer shall on such criteria as may be prescribed, examine such vehicle and shall certify whether or not such Certificates may be issued in terms of this Act. (2) An Emission Certificate and Certificate of Fitness issued in respect of a motor vehicle shall remain in force for one year from the date of issue or such shorter period not less than three months as may be specified in such certificate. (3) Where an examiner or approved certifying officer certifies that a motor vehicle is unfit for use, he shall state his reasons therefor. (4) The registered owner of a motor vehicle which is certified after examination under the preceding provisions of this section to be unfit for use, may, appeal to the Commissioner - General against the issue of such Certificate and the decision of the Commissioner - General on such appeal shall be final. (5) The Emission Certificate and Certificate of Fitness issued in respect of a motor vehicle under this section shall be- (a) carried in that vehicle at all times; (b) made available for inspection on demand by a police officer, Grama Niladhari or Examiner or authorized officer appointed under this Act, or by any person authorized in writing by the Commissioner - General : Provided however, that such certificate shall be produced when required, before a Court, the Commissioner - General or a Licensing Authority. (c) a person who contravenes the provisions of this subsection shall be guilty of an offence and shall on conviction be liable to the penalty specified in section 224 and also be liable to the amount prescribed for on the spot fines under section 215A. (6) The registered owner of an approved garage or approved inspection or testing centre shall forward in the prescribed form to the Commissioner General before the tenth day of the following month. a monthly summary of the Emission Certificates and Certificates of Fitness issued by him during each month. (7) (a) If the registered owner of an approved garage or approved inspection or testing centre fails to send the monthly summary referred to in subsection (6) before the tenth day of each month, the Commissioner General shall, in the first instance, issue him with a warning that the order made under section 195 in respect of such garage may be revoked if such monthly summary is not sent within the time specified under subsection (6). (b) If the registered owner of such approved garage or approved inspection or testing centre fails to send such monthly summary for three consecutive months the Commissioner General shall revoke the order made under section 195 in respect of that approved garage or approved inspection or testing centre. (c) A person who contravenes the provisions of subsection (6) shall be guilty of an offence and shall on conviction be liable to a fine not less than five thousand rupees and not exceeding ten thousand rupees and on a second or subsequent conviction to a fine not less than ten thousand and not exceeding fifteen thousand rupees. (8) Regulations may be made providing for the procedures for the examination of motor vehicles for the purpose of the issue of an Emission Certificates and Certificates of Fitness.",196,500
o35,Shapes of identification plates,"For the purposes of section 21, no identification plate shall be used unless the shape of the plate conforms to one of the prescribed diagrams, and the colour of the ground of every plate, the colour and size of every letter and number on such plate, the spacing between such letters or numbers, and the dimensions of the margins of such plate, are in accordance with such general provisions as may be prescribed: Provided, however, that any identification plate of a shape not conforming to one of the aforesaid diagrams may be used on any motor vehicle if a regular permit authorizing the use of such plate has been obtained from the Commissioner-General.",22,1000
o36,Non compliace with the requirements of identification plates,The two identification plates to be required by section 21 shall be fixed and maintained on a motor vehicle in accordance with such provisions as may be prescribed and are applicable to the class or description of motor vehicles to which the vehicle belongs.,23,1000
o37,Improper fitting and unclear nuber plates,".(1) Every identification plate required by section 21 shall be fixed and maintained in an upright position on the motor vehicle, with the upper edge of the letters and figures upwards. (2) No part of any identification plate shall be obscured in any manner.",24,1000
o38,Altering and misuse of number plates,"A person who - (a) contravenes the provisions of sections 21, 22, 23 and 24 of this Act ; or (b) (i) fraudulently uses or allows any other person to use any identification plate, or (ii) imitates, alters, mutilates, defaces or destroys any identification plate, shall be guilty of an offence and shall on conviction be liable to a fine not less than fifteen thousand rupees and not exceeding twenty five thousand rupees and on a second or subsequent conviction to a fine not less than thirty thousand rupees and not exceeding fifty thousand rupees or to imprisonment for a term not exceeding three months or to both such fine and imprisonment.",24.A,1000
o39,Revenue license should be displayed on motor vehicles and motor vehicles and produces when required,"The revenue licence issued for any motor vehicle shall (a) be displaced on the front of the motor vehicle and placed in a 
conspicuous position on the left or near side of the motor 
vehicle, so that the front of the licence and the writing thereon 
shall be clearly visible at all times to a person standing in 
front of the motor vehicle on the left or near side thereof; and 
(b) be made available for inspection on demand made by a 
police officer, Gram Siva Niladhari, or examiner, or by any 
person authorized in writing by the Commissioner-General 
or the licensing authority: 
Provided, however, that the revenue licence shall be removed from 
the vehicle and produced when required by a court or the 
Commissioner-General for endorsement or retention.",38,1000
o40,Prohibition on the use of motor vehicle contravening the provisions of revenue license,"(1) No person shall use any motor vehicle for any purpose not authorized by the revenue licence for the time being in force for that 
vehicle, or in contravention of any of the conditions contained in that 
licence. 
(2) The Commissioner-General may issue a permit for the purpose of - 
(a) authorizing a motor car or a motor tricycle to be used for a 
specified period for the carriage of samples of goods not exceeding 
one hundred kilograms in weight ; or 
(b) authorizing a motor car or a motor tricycle to be used for a 
specified period for the carriage of mails or newspapers ; or 
(c) authorizing an omnibus to be used, subject to such conditions 
as may be specified in the permit for the carriage of mails or 
newspapers. 
(3) Regulations may be made empowering the Commissioner- General, 
in any case not provided for in subsection (2), to issue a permit 
authorizing the use of any motor vehicle for any specified purpose not 
authorized by the revenue licence for the time being in force for that 
vehicle, and prescribing the conditions subject to which any such permit 
may be issued. 
(4) No person shall be deemed to have contravened the provisions of 
subsection (1) by reason only of the use of a motor vehicle in 
accordance with any permit issued under subsection (2) or under any 
regulation made under subsection (3).",45,1000
o41,Improper use of warning instruments,".(1) The driver of a motor vehicle on a road shall give sufficient warning of the approach or position of the motor vehicle by sounding an efficient warning instrument whenever such warning is necessary for safety or by flashing the headlamp beams in a dipped position: Provided, however, that when a motor vehicle is stationary on a road, no warning instrument affixed to that vehicle shall be operated except for the purpose of preventing an accident or ensuring the safety of the vehicle or its occupants. (2) (a) Notwithstanding the provisions of subsection (1), the driver of a motor vehicle shall not use, or cause or permit to be used the warning instrument of such vehicle except - (i) when necessary as a traffic warning to avoid an accident; or (ii) as an indication of his intention to overtake another vehicle, provided however, that at night, such driver may flash the head lights for such purpose and also sound a warning instrument. (3) No person shall use a motor vehicle that has been equipped with a multi-tone horn sounding a succession of different notes, or with any other sound producing device giving a harsh, shrill, loud or alarming noise: Provided that such a multi-tone horn or other sound producing device may be fitted or used - (a) on a vehicle used by the fire brigade; (b) on a vehicle used by members of the police or armed services; or (c) on an ambulance responding to an emergency call. (4) No whistle or horn, other than a horn sounding a single note, shall, for the purposes of subsection (1), be sounded on any motor vehicle on any road. (5) Regulations may be made - (a) prohibiting or restricting for the purposes of this section the use of all warning instruments or any specified instrument in any area or part thereof during any specified hours of the day; (b) prescribing the maximum noise level that may emanate from a vehicle whether from the engine, the exhaust device or the horn; (c) prescribing the maximum noise level that is permissible for any class or classes of vehicles with regard to a warning device or reverse warning device or any amplifying devices fitted on such class or classes of vehicles. (6) In any area in respect of which any regulations have been made under subsection (5), no person shall, notwithstanding the provisions of subsection (1), use any warning instrument in contravention of those regulations. (7) Any person who contravenes the provisions of this section shall be guilty of an offence and shall on conviction be liable to a fine not less than three thousand rupees and not exceeding five thousand rupees and to the confiscation of such instruments.",155,1000
o42,Precautions to be taken when motor vehicle is halted or left unattended or disabled on a road,"(1) The driver of a motor vehicle shall, whenever the vehicle is halted or parked on a road, place the vehicle as near as possible to the edge of the road or in such position or such manner as may be indicated by a traffic sign or notice exhibited on or near the road or by a police officer on duty. (2) The driver of a motor vehicle shall, whenever it becomes necessary to leave the motor vehicle unattended while it is halted or parked on a road stop the engine before he so leaves the vehicle and take due precautions against its moving or being moved in his absence. (3) Where it is necessary to leave on any road any motor vehicle which is disabled by an accident, mechanical breakdown or tire failure, the driver of the vehicle so left on a road at night, shall illuminate the front and rear of the vehicle so as to indicate clearly the position of the vehicle on the road. (4) Where in the opinion of a police officer any obstruction is caused to traffic on any road or public sidewalk by a motor vehicle halted, or parked on a road, or by any object, thing or material, such police officer may cause the motor vehicle causing such obstruction or such other object, thing or material to be removed and charge the cost of such removal to the owner. (5) No police officer shall be held liable in damage for any damage caused in good faith in the course of the removal of a motor vehicle, object, thing or material under subsection (4).",167,2000
